name,type,district,sub_district,address,phone,email,website,operator,lat,lon,osm_id,source
Kavalappara Family Health Center,Family Health Centre (FHC),Palakkad,,"11, Koonathara Road, Kavalappara, 679523",,,,Government,10.7683142,76.3020394,way/1001917991,OpenStreetMap
Kavilumpara Village Primary Health Center,Primary Health Centre (PHC),Kozhikode,,,,,,,11.7060482,75.7791479,node/3799800080,OpenStreetMap
Kenichira Sub Centre,Hospital,Wayanad,,,,,,HEALTH AND FAMILY WELFARE,11.724053,76.150295,way/859558129,OpenStreetMap
Kerala Government Multi Speciality Hospital,Hospital,Thiruvananthapuram,,,,,,,8.5509038,76.9612035,node/7490168630,OpenStreetMap
"Kerala Medical College,Mangod",Medical College,Palakkad,,,,,,,10.8823673,76.3497349,node/8320520989,OpenStreetMap
Keshavapuram Community Health Center,Community Health Centre (CHC),Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.7593806,76.8557749,way/899908127,OpenStreetMap
Kizhaparayar Primary Health Centre,Primary Health Centre (PHC),Kottayam,,,,,,,9.6967265,76.7099861,node/2906166024,OpenStreetMap
Kodiyeri PHC,Primary Health Centre (PHC),Kannur,,Thalassery - Kodiyeri Road,,,,Government,11.74589,75.5307954,node/7481775600,OpenStreetMap
Kodumon Group Hospital Angadical North,Hospital,Pathanamthitta,,"Angadical North, Kodumon, 691555",,,,Government,9.1761381,76.8188429,way/983634282,OpenStreetMap
Kollam District Hospital,District Hospital,Kollam,,"0474-2742004, 691001",,,,Department of Health Services,8.8875267,76.5849572,node/2509093692,OpenStreetMap
Kottackal Arya Viadyashala,Alternative,Alappuzha,,,+91-4792470474,,,Government,9.2365299,76.4714187,way/1054997156,OpenStreetMap
Kottakkal Aryavidhyashala Omassery,Pharmacy / Jan Aushadhi,Kozhikode,,"omassery town;omassery, Kozhikode, 673582",,,http://www.supplycokerala.com/,Indian Postal service,11.3644421,75.9641166,node/7910143618,OpenStreetMap
Kottamala Colony FHC,Family Health Centre (FHC),Kottayam,,,,,,,9.6027695,76.4950352,node/9117959923,OpenStreetMap
"Kottaparambu Govt. hospital, Kozhikode",Hospital,Kozhikode,,,,,,dept. of health service,11.2510599,75.7838685,way/800617304,OpenStreetMap
Kotti (Payyannur Theru) Family Health Center,Family Health Centre (FHC),Kannur,,,,,,,12.0910539,75.2024715,node/9765034186,OpenStreetMap
Kozhikode District Co-Operative Hospital,Hospital,Kozhikode,,,,,,,11.2769228,75.7844723,node/10310038970,OpenStreetMap
KP Prabhakaran memorial government hospital anthikkad,Hospital,Thrissur,,,,,,,10.4581257,76.1162883,node/8327153535,OpenStreetMap
Kudumba Kshema kendram,Clinic,Idukki,,"Injappathal ,Mukkudam PO, Injappathal",,,,government,9.9662781,77.0045674,way/964508488,OpenStreetMap
Kunnamkulam Government Hospital,Hospital,Thrissur,,,,,,,10.6489678,76.0697734,way/377129812,OpenStreetMap
KUNNAMKULAM TALUK HOSPITAL,Taluk Hospital,Thrissur,,"taluk hospital kunnamkulam, Thrissur – kunnamkulam Road, Thrissur, 680503",+91-4885-222233,talukhospitalkkm@gmail.com,,department of health services,10.6494211,76.0699591,node/7074718890,OpenStreetMap
Kunnukara Primary Health Centre,Primary Health Centre (PHC),Ernakulam,,,,,,,10.1553226,76.2949809,way/736413302,OpenStreetMap
Kusavarkal Primary Health Centre (Block A),Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.5469467,76.9503116,way/923424534,OpenStreetMap
"Kuttampuzha Grama Panchayath Agro Clinic, Thattekkad",Clinic,Ernakulam,,,,,,Government,10.1355942,76.6918702,node/9092826533,OpenStreetMap
Laprasy Santorium Nooranad,Hospital,Alappuzha,,,,,,Department of Health and Family Welfare,9.17443,76.6259536,way/797031987,OpenStreetMap
Lifecare health Clinic Puliyengal,Clinic,Malappuram,,,,,,Department of Health and fami;ly Welfare,11.0683138,76.0941876,node/8997812118,OpenStreetMap
Main Building,Hospital,Kannur,,"Kasargod-Kannur-Calicut Highway, Pariyaram, 670503",+91 497 2808111,,,government,12.0712914,75.2934517,way/743307130,OpenStreetMap
"Main Center, PHC  Vazhavatta",Primary Health Centre (PHC),Wayanad,,,,,,Department of Health Services,11.6214573,76.1583019,way/799294053,OpenStreetMap
Mala Govt. Hospital,Hospital,Thrissur,,,,,,,10.2399929,76.273435,node/4118638691,OpenStreetMap
Malabar Cancer Centre,Hospital,Kannur,,,,,,Kerala Gov,11.7494079,75.5236905,way/804543899,OpenStreetMap
Malabar Medical College Rural Hospital,Medical College,Kozhikode,,,,,,,11.5295585,75.7082852,way/804062364,OpenStreetMap
Manadukkam Sub Centre,Clinic,Kasaragod,,,,,,Panathady Grama Panchayat,12.4625776,75.2903818,way/1093202835,OpenStreetMap
Mankara PHC,Primary Health Centre (PHC),Palakkad,,,,,,,10.7907197,76.4991096,way/449189675,OpenStreetMap
Mannanthala mch unit,Hospital,Thiruvananthapuram,,"MC Road, Mannanthala",,,,ehealth,8.5611964,76.9432451,way/938824491,OpenStreetMap
Marina Hospital,Hospital,Thrissur,,"Potta - Moonupeedika Road, Thrissur district, 680100",,,,Government,10.3475196,76.2191206,way/957231879,OpenStreetMap
Mariya Nilayam Hospital PHC,Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.3536889,77.0304998,way/278495689,OpenStreetMap
Maruthomkara Primary Health Center,Primary Health Centre (PHC),Kozhikode,,,,,,,11.6437219,75.7908942,node/3830615048,OpenStreetMap
Mattancherry Government Hospital,Hospital,Ernakulam,,,,,,,9.9597832,76.2598371,node/9081387967,OpenStreetMap
mattul government hospital,Hospital,Kannur,,"l, Mattul main road",,,,,11.9715027,75.2844694,node/7469418083,OpenStreetMap
Mayynad Primary Health Centre,Primary Health Centre (PHC),Kollam,,,,,,,8.8425598,76.6462707,node/7757531409,OpenStreetMap
medical college,Medical College,Kozhikode,,,,,,,11.2724841,75.8371237,node/7526111446,OpenStreetMap
Medical College Health Unit Ambalapuzha,Medical College,Alappuzha,,,,,,DEPARTMENT OF HEALTH SERVICES,9.3842762,76.3543863,way/799594160,OpenStreetMap
Medical College Hospital Campus Alappuzha,Medical College,Alappuzha,,"Neerkunnam, 688005",,,,Department of Health and Family Welfare,9.4080067,76.3480574,way/820386959,OpenStreetMap
Medical College Kasaragod,Medical College,Kasaragod,,,,,,Department of Health and Family Welfare,12.625454,75.0901437,way/788445834,OpenStreetMap
Medical College OP,Medical College,Thiruvananthapuram,,,,,,,8.5699592,76.8722107,node/5286911440,OpenStreetMap
"Medical College, Thiruvananthapuram",Medical College,Thiruvananthapuram,,,,,,Kerala State,8.5209794,76.9226146,node/3904989145,OpenStreetMap
Melady Health Care Centre,Hospital,Kozhikode,,"Kundampathi Road, Melady, 673529",,,,Government,11.5058777,75.6271647,way/803252457,OpenStreetMap
Mental Health Centre Peroorkada,Hospital,Thiruvananthapuram,,,,,,Department of health services,8.5269177,76.9699301,way/800772584,OpenStreetMap
Midac Dental Care,Dentist,Kozhikode,,,,,,public,11.274249,75.7867883,way/895513443,OpenStreetMap
Mnmvs Neethi Medical Stores,Hospital,Thrissur,,"St. Mary's Church Building, Vellangallur - Mathilakam Rd, Vellangallur, Kerala 680662 8639+W6 Vadakkumkara, Kerala, VELLANGALLUR, 680662",+91-480 286 4575,,,MNMVS Neethi Medical Stores,10.3046886,76.2180922,node/7074142934,OpenStreetMap
"Mobile dispensary, kasargod",Govt Dispensary,Kasaragod,,"bus stand cross road, Kasaragod, 671121",,,,Departmentof health service,12.501936,74.9888323,node/7473060947,OpenStreetMap
National Virology Institute,Laboratory,Alappuzha,,,,,,Govt,9.4192568,76.3433182,way/780984143,OpenStreetMap
Nayarambalam Primary Health Center,Primary Health Centre (PHC),Ernakulam,,,,,,,10.0572971,76.2181225,node/8980628065,OpenStreetMap
nedumpana govt homio dispensary,Govt Dispensary,Kollam,,"kannanalloor - Pallimon Road, Pallimon",,,,,8.9009259,76.7161742,way/801666360,OpenStreetMap
Neethi Medical Lab,Laboratory,Ernakulam,,,,,,Government,9.944697,76.3724668,way/1177262074,OpenStreetMap
Neethi medicals,Pharmacy / Jan Aushadhi,Pathanamthitta,,"Kayamkulam - Thiruvalla Road, Thiruvalla, 689101",,,,Govt of Kerala,9.3803334,76.5703341,node/7482344709,OpenStreetMap
Nettoor Primary Health Center,Primary Health Centre (PHC),Ernakulam,,"Nettoor PWD Road, Ernakulam, 682040",,,,Government of Kerala,9.9194425,76.3128645,node/4867912497,OpenStreetMap
NHM Primary Health Centre,Primary Health Centre (PHC),Kozhikode,,,,,,,11.2058403,75.8116117,node/7484382477,OpenStreetMap
Nilakkal Government Hospital,Hospital,Pathanamthitta,,,,,,Government,9.3895359,77.0100019,node/8073591157,OpenStreetMap
Noolpuzha Family Health Centre,Family Health Centre (FHC),Wayanad,,,,,,,11.6672489,76.3183017,way/857068370,OpenStreetMap
oasis medical clinic,Clinic,Ernakulam,,"souhrdha junction,mudickal, Aluva-Perumbavoor Road, 683547",,,,oasis residence assosiation,10.1160252,76.4567487,way/620753739,OpenStreetMap
"Office,PERUMATHURA FHC",Family Health Centre (FHC),Thiruvananthapuram,,,,,,,8.6218232,76.7972916,way/945145473,OpenStreetMap
Ottisam Center Murickassery,Hospice,Idukki,,"Murickassery, Murickassery",,,,BRC Kattappana,9.9160947,77.0115589,way/982770407,OpenStreetMap
P A Gopi Memorial Subcenter,Clinic,Thrissur,,"P A Gopi Memorial Subcenter, Punara Nivasa 32 aam Colony, Kodungallur",,,,Government,10.2271408,76.2152315,node/9295502917,OpenStreetMap
P H C Kallara,Hospital,Kottayam,,,+91-4829-269277,,,DEPARTMENT OF HEALTH SERVICES,9.7238209,76.4773499,way/800704560,OpenStreetMap
"Palliative  Care Unit , Malappattam",Hospice,Kannur,,,,,,government,12.0204695,75.4893269,node/9202774653,OpenStreetMap
Palliative Care Center Angadical North,Rehabilitation,Pathanamthitta,,"Vallicode Angadical Road, Angadickal North, 691555",,,,Government,9.2061828,76.7826289,way/983670351,OpenStreetMap
Palliative Care Maniyur,Hospice,Kozhikode,,,,,,government,11.5601134,75.6492883,way/1006182716,OpenStreetMap
Palliative Care Peermade,Hospital,Idukki,,,,,,Department of Health and Family Welfare,9.5730894,76.9938589,node/7471894254,OpenStreetMap
Palliative Care Teekoy Town,Centre,Kottayam,,"Erattupetta-Peermade Road, Teekoy, 686580",,,,government,9.699243,76.8170245,way/1101792052,OpenStreetMap
Palliative Health Care Maniyur,Hospice,Kozhikode,,,,,,Government,11.5459371,75.6419515,node/9823866012,OpenStreetMap
"Panakkad Said Muhammedali Shihab Thangal Smaraka General Hospital, Manjeri",General Hospital,Malappuram,,,,,,DHS (Department of Health Services),11.1164076,76.1200608,way/478381364,OpenStreetMap
PANATHUR GOVT. HOSPITAL,Hospital,Kasaragod,,,,,,,12.4578763,75.3551364,way/895118392,OpenStreetMap
Panayi Health Sub Center,Health_Center,Malappuram,,panayi,,,,Public Health Department,11.0817882,76.1087913,node/8320478483,OpenStreetMap
"Panicker's Hospital Kodungallur, ward 4",Hospital,Thrissur,,"Kodungallur, 680664",,,,private,10.2281545,76.1962616,way/798621074,OpenStreetMap
Parambil Health Care,Yes,Kozhikode,,,,,,Government,11.3092735,75.8244596,node/7481980283,OpenStreetMap
Parappanangadi Government Fisheries Hospital,Hospital,Malappuram,,676303,,,,government,11.0558479,75.8498586,node/7474094828,OpenStreetMap
Pariyangadu Primary Health Center,Primary Health Centre (PHC),Malappuram,,,,,,Government,11.190123,76.2876748,way/958752914,OpenStreetMap
Pariyaram Sub Center,Hospital,Wayanad,,,,,,Government,11.6478902,76.1007962,node/8002264433,OpenStreetMap
Pathanamthitta District Co Operative Hospital,Hospital,Pathanamthitta,,"Aranmula - Kidangannur road, Kulanada, 689503",,,,Government,9.2431883,76.6732176,way/990453911,OpenStreetMap
Pathanapuram Taluk Hospital Project Site,Taluk Hospital,Kollam,,,,,,,9.0791104,76.8552076,node/13088925187,OpenStreetMap
Peringalam PHC,Primary Health Centre (PHC),Kannur,,,,,,Government,11.7291883,75.5804356,node/7481933255,OpenStreetMap
PHC,Primary Health Centre (PHC),Thiruvananthapuram,,"perumkadavila-paliyode road, perumkadavila, 695124",,,,,8.4377063,77.1220743,node/9038272844,OpenStreetMap
PHC,Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.4158229,77.1371673,node/9039566956,OpenStreetMap
PHC,Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.4290638,77.0997475,node/9042608175,OpenStreetMap
PHC,Primary Health Centre (PHC),Malappuram,,,,,,,10.9672278,76.0908647,node/9106575402,OpenStreetMap
PHC,Primary Health Centre (PHC),Thrissur,,,,,,,10.440558,76.2055601,node/10110045850,OpenStreetMap
PHC,Primary Health Centre (PHC),Kottayam,,,,,,,9.4759367,76.5579245,node/10110417418,OpenStreetMap
PHC,Primary Health Centre (PHC),Thrissur,,,,,,,10.4513985,76.2189411,node/10112235163,OpenStreetMap
PHC,Primary Health Centre (PHC),Palakkad,,,,,,,10.80907,76.41172,node/10121641455,OpenStreetMap
PHC Aanandapuram,Primary Health Centre (PHC),Thrissur,,"ANADAPURAM;Anandapuram ‐ kodakara road, Irinjalakuda, 680305",+91 480 2881759,anandapuramphc@gmail.com,,government,10.3809087,76.2656915,way/797914105,OpenStreetMap
PHC Ajanur,Primary Health Centre (PHC),Kasaragod,,,,,,Department of Helth Service,12.3276115,75.0713892,node/7470672834,OpenStreetMap
phc alakode,Primary Health Centre (PHC),Kannur,,,,,,,12.2136636,75.4584645,node/9765247599,OpenStreetMap
PHC Angadimogaru,Primary Health Centre (PHC),Kasaragod,,,,,,Department of Helth Service,12.6239186,75.0408696,node/7472847651,OpenStreetMap
PHC anjarakandy,Primary Health Centre (PHC),Kannur,,,,,,,11.8883682,75.5018229,way/799033265,OpenStreetMap
PHC Arikady,Primary Health Centre (PHC),Kasaragod,,,,,,DEPARTEMENT OF HEALTH SERVICES,12.5991012,74.9400663,node/7470516985,OpenStreetMap
PHC Arookutty,Primary Health Centre (PHC),Alappuzha,,Arookutty,,,,,9.8681877,76.320485,node/9476474956,OpenStreetMap
"phc ayush,Alakode",Primary Health Centre (PHC),Kannur,,,,,,government,12.2044345,75.4602022,way/1090301329,OpenStreetMap
PHC Chammundikunnu,Primary Health Centre (PHC),Kasaragod,,,,,,,12.4828314,75.3119183,node/10011881159,OpenStreetMap
phc Chapparapadavu,Primary Health Centre (PHC),Kannur,,,,,,,12.1292622,75.4064257,node/9765268582,OpenStreetMap
PHC CHERUKAVU,Primary Health Centre (PHC),Malappuram,,,,,,,11.2015133,75.8997726,node/8663867971,OpenStreetMap
PHC Dharmasala,Primary Health Centre (PHC),Kannur,,,,,,,11.98653,75.3783868,way/788135890,OpenStreetMap
PHC ELAVANCHERRY,Primary Health Centre (PHC),Palakkad,,,,,,,10.6077587,76.6570275,node/8903970417,OpenStreetMap
PHC Eramallikara,Primary Health Centre (PHC),Alappuzha,,,+91-479 2427002,,,DEPARTMENT OF HEALTH SERVICES,9.3474548,76.5565725,way/623152281,OpenStreetMap
PHC Ettumanoor,Primary Health Centre (PHC),Kottayam,,,,,,,9.6731288,76.5936154,way/908433955,OpenStreetMap
PHC Kadukutty,Primary Health Centre (PHC),Thrissur,,,,,,,10.2687322,76.3093118,way/909117264,OpenStreetMap
PHC Kakkayam,Primary Health Centre (PHC),Kozhikode,,,,,,,11.5517361,75.8946007,node/3028236981,OpenStreetMap
PHC KAKKUR,Primary Health Centre (PHC),Kozhikode,,,,,,,11.3779496,75.8308171,node/11268503259,OpenStreetMap
PHC Karuvatta,Primary Health Centre (PHC),Alappuzha,,,+91-4792491934,karuvattaphc@gmail.com,,Department of Health Services,9.3076613,76.4256842,node/7485497905,OpenStreetMap
PHC Kattampak,Primary Health Centre (PHC),Kottayam,,"kattampak church road, kottayam",+91-4829-265340,,,DEPARTMENT OF HEALTH SERVICES,9.7816304,76.5365159,way/800702963,OpenStreetMap
PHC Kodakkad,Primary Health Centre (PHC),Malappuram,,,,,,,11.0854598,75.8714791,node/2722700345,OpenStreetMap
PHC Krishnapuram,Primary Health Centre (PHC),Alappuzha,,,+91-479 243 8154,,,DEPARTMENT OF HEALTH SERVICES,9.1420147,76.5259067,way/800670142,OpenStreetMap
PHC Kumarapuram,Primary Health Centre (PHC),Alappuzha,,,,,,,9.2838174,76.4271629,node/7505570589,OpenStreetMap
PHC Kumbadaje,Primary Health Centre (PHC),Kasaragod,,"Badiyadka -Mulleria Road, kumbadaje",+91 4998 260700,phckumbadaje@gmail.com,,Department of Health Service,12.574035,75.1087343,node/7470787825,OpenStreetMap
PHC Mutholy,Primary Health Centre (PHC),Kottayam,,"Mutholy - Kodungoor Road, mutholy, 686573",+91-4822-206346,,,DEPARTMENT OF HEALTH SERVICES,9.6880681,76.6625096,way/800691661,OpenStreetMap
PHC Nedumkunnam,Primary Health Centre (PHC),Kottayam,,"Nedumkunnam Primary Health Center  Nedumkunnam, Kottayam, Nedumkunnam, Kottayam, NEDUMKUNNAM, 686542",+91-481-2417534,,,DEPARTMENT OF HEALTH SERVICES,9.5116182,76.6688219,way/800697040,OpenStreetMap
PHC NELLIKUNNU,Primary Health Centre (PHC),Kasaragod,,,,,,,12.4559181,75.3615731,node/8320362227,OpenStreetMap
PHC Pallikkathodu Kayoori,Primary Health Centre (PHC),Kottayam,,,,,,,9.5937331,76.6894199,node/8883031935,OpenStreetMap
PHC Panathur (24*7),Primary Health Centre (PHC),Kasaragod,,"Hosdurg - Panathur Road, Panathur, 671532",,,,Deparment of health service,12.4577247,75.3569624,node/7471088157,OpenStreetMap
phc pappinseri,Primary Health Centre (PHC),Kannur,,,,,,,11.9479689,75.3549086,node/9105107410,OpenStreetMap
PHC Parattatta,Primary Health Centre (PHC),Ernakulam,,"Marady, Muvattupuzha, 686673",,,,Governmnet,9.9414866,76.559094,node/9023074745,OpenStreetMap
PHC Parking Ground,Primary Health Centre (PHC),Kollam,,,,,,,9.0745032,76.5120525,way/922953965,OpenStreetMap
PHC Payalalm Edathode,Primary Health Centre (PHC),Kasaragod,,,,,,,12.3783477,75.2381883,way/1101905774,OpenStreetMap
PHC Perumanna,Primary Health Centre (PHC),Kozhikode,,,,,,,11.2398188,75.8822186,node/7500058493,OpenStreetMap
PHC poovathussery,Primary Health Centre (PHC),Thrissur,,,,,,,10.3801087,76.2346297,way/664420515,OpenStreetMap
"PHC Primary Health Center, Narianganam Thalappalam",Primary Health Centre (PHC),Kottayam,,,+91-4822-239345,,,DEPARTMENT OF HEALTH SERVICES,9.7270666,76.7392773,way/800699749,OpenStreetMap
PHC Puthuppally,Primary Health Centre (PHC),Kottayam,,"REF ID 1321, Kottayam-Puthuppally Road, kottayam, 686011",+91-481 235 3250,,,department of health services,9.5552835,76.5723163,way/801566564,OpenStreetMap
phc sub center,Primary Health Centre (PHC),Malappuram,,,,,,,11.026206,75.92494,node/9004709025,OpenStreetMap
phc sub center,Primary Health Centre (PHC),Malappuram,,,,,,,10.9950096,75.9108738,node/9004709030,OpenStreetMap
phc sub center,Primary Health Centre (PHC),Malappuram,,,,,,,10.9973174,75.9193815,node/9004709044,OpenStreetMap
PHC Sub Center East Marady,Primary Health Centre (PHC),Ernakulam,,"East Marady, Bypass Road, Muvattupuzha, 686673",,,,Government,9.9560783,76.5738518,node/9022971493,OpenStreetMap
PHC Sub Center Kottaram,Primary Health Centre (PHC),Malappuram,,,,,,,10.8829124,76.0784379,way/1005532273,OpenStreetMap
PHC Sub Centre Chandrampara,Primary Health Centre (PHC),Kasaragod,,,,,,,12.5432858,75.1057961,way/1015196230,OpenStreetMap
PHC Subcentre  Nellikkampoil,Primary Health Centre (PHC),Kannur,,,,,,,12.0263509,75.6585824,way/965186584,OpenStreetMap
PHC Subcentre Anapaanthi,Primary Health Centre (PHC),Kannur,,,,,,,12.0238495,75.7366938,way/965104785,OpenStreetMap
PHC Subcentre Enthumkarri,Primary Health Centre (PHC),Kannur,,,,,,,12.0273644,75.7698774,way/964987445,OpenStreetMap
PHC Subcentre Kacherikadavu,Primary Health Centre (PHC),Kannur,,,,,,,12.0768704,75.7402116,way/964602875,OpenStreetMap
PHC subcentre Mangalad,Primary Health Centre (PHC),Kozhikode,,,,,,,11.6417853,75.6532579,node/10109858991,OpenStreetMap
PHC Subcentre Manippara,Primary Health Centre (PHC),Kannur,,,,,,,12.0583547,75.6492106,node/8928718083,OpenStreetMap
PHC Subcentre Payam,Primary Health Centre (PHC),Kannur,,,,,,,11.9752041,75.7014393,way/964301776,OpenStreetMap
PHC Subcentre Thermala,Primary Health Centre (PHC),Kannur,,,,,,,12.0334674,75.6255585,way/965191460,OpenStreetMap
PHC subcentre Vilamana,Primary Health Centre (PHC),Kannur,,,,,,,12.0276297,75.6827618,node/8920054767,OpenStreetMap
"PHC Subcentre, Mankada Pallippuram",Primary Health Centre (PHC),Malappuram,,,,,,,11.0601189,76.1281937,node/9182453616,OpenStreetMap
PHC Thanalur (Sub Centre),Primary Health Centre (PHC),Malappuram,,,,,,government,10.9430788,75.9107932,way/863528547,OpenStreetMap
PHC Thayyilakkadavu,Primary Health Centre (PHC),Malappuram,,,,,,,11.0922315,75.8760107,node/2723822130,OpenStreetMap
PHC Tholpetty,Primary Health Centre (PHC),Wayanad,,,,,,,11.9465365,76.064354,way/1017372482,OpenStreetMap
PHC Thuruthi,Primary Health Centre (PHC),Kasaragod,,"THURUTHI, CHERUVATHUR, 671351",,,,Department of Helth Service,12.2262653,75.135513,node/7470281515,OpenStreetMap
PHC Valiyaparamba (24*7),Primary Health Centre (PHC),Kasaragod,,"valiyaparamba, Padne, 671312",,,,Department of health service,12.1695056,75.1339257,way/798839394,OpenStreetMap
phc vellor,Primary Health Centre (PHC),Kottayam,,"1378, manarcadu bus stand complex, Manarcadu, 686019",,,,,9.5879584,76.5829297,way/921612097,OpenStreetMap
PHC VETTAM,Primary Health Centre (PHC),Malappuram,,,,,,,10.8756259,75.8988974,node/9106555334,OpenStreetMap
"phc,chittariparamb",Primary Health Centre (PHC),Kannur,,,,,,,11.8441136,75.6077608,node/9771237060,OpenStreetMap
Phc-thekkumuri,Primary Health Centre (PHC),Malappuram,,,,,,government,11.0296261,76.0229014,way/973557169,OpenStreetMap
Pilot Scheme Dispensary Mukkali,Govt Dispensary,Palakkad,,,,,,Department of Health Services Kerala,11.0582255,76.5403711,way/978022793,OpenStreetMap
Police Hospital Kallekkad,Hospital,Palakkad,,,,,,Department of Health and Family Welfare,10.7854572,76.5996625,node/9072699819,OpenStreetMap
Police Hospital Maniyar,Hospital,Pathanamthitta,,,,,,government,9.325817,76.8803765,way/863302394,OpenStreetMap
Post Office Omassery,Pharmacy,Kozhikode,,"omassery town;omassery, Kozhikode, 673582",,,http://www.supplycokerala.com/,Indian Postal service,11.364442,75.9641167,node/9687711328,OpenStreetMap
"Pratheeksh Buds Rehabilitation Centre ,",Rehabilitation,Pathanamthitta,,"Polachira Road, Kulanada, 689503",,,,Kulanada Panchayat,9.2394823,76.6953083,way/955052630,OpenStreetMap
"Pratheeksha Buds Rehabilitation Centre ,",Rehabilitation,Pathanamthitta,,"Polachira Road, Kulanada, 689503",,,,Kulanada Grama Panchayath,9.2392806,76.6953289,way/999936904,OpenStreetMap
Pratheeksha Plliative Care,Hospice,Palakkad,,"Perumbilavu-Nilambur Road, Chalissery, 679536",,,,Directorate General Of Health Services,10.7485384,76.1040585,way/985500921,OpenStreetMap
Primaray Health Center Irivallur,Hospital,Kozhikode,,,,,,Department of Health and Family Welfare,11.3983208,75.8170677,node/9062872189,OpenStreetMap
"Primary Healh Center, Koodal",Hospital,Pathanamthitta,,"koodal, koodal, 689693",,,,Department of Health and Family Welfare,9.1411787,76.8553134,way/799790872,OpenStreetMap
primary health  sub center,Primary Health Centre (PHC),Malappuram,,,,,,,11.0111925,75.9526859,way/972428603,OpenStreetMap
Primary Health Care,Primary Health Centre (PHC),Palakkad,,,,,,,10.8744087,76.4433151,node/2192235473,OpenStreetMap
Primary health care,Primary Health Centre (PHC),Malappuram,,Kuzhippuram,,,,government,11.0218511,76.0064508,way/982265825,OpenStreetMap
Primary health care -Homeopathi,Primary Health Centre (PHC),Malappuram,,,,,,Governent,11.0230168,76.0227744,way/982265818,OpenStreetMap
Primary Health Care Avanakuzhi,Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.3892664,77.0417118,node/9252019543,OpenStreetMap
Primary Health Care Center Moorkanad Padinjatumpuram,Primary Health Centre (PHC),Malappuram,,,,,,,10.9039195,76.1408799,way/1016870188,OpenStreetMap
Primary Health Care Centre Palapra,Primary Health Centre (PHC),Malappuram,,"edappal, 679578",,,,Department Of Health,10.80256,76.0241623,way/938380485,OpenStreetMap
"Primary Health Care Centre, Pallikathode",Primary Health Centre (PHC),Kottayam,,,,,,,9.5954751,76.6742364,way/799839312,OpenStreetMap
"Primary Health Care Kurumbalangode, Kurumbalangode",Primary Health Centre (PHC),Malappuram,,,,,,,11.354871,76.2436005,relation/13588653,OpenStreetMap
Primary Health Care Parippu,Primary Health Centre (PHC),Kottayam,,,,,,department of health services,9.6177777,76.4768325,way/981927208,OpenStreetMap
Primary Health Care Payatuvila,Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.3906132,77.0299186,way/1002489986,OpenStreetMap
Primary Health Care Puthuperiyaram,Primary Health Centre (PHC),Idukki,,,,,,,9.8990135,76.6704943,way/966928656,OpenStreetMap
Primary Health Care Sub Center Puthuval,Primary Health Centre (PHC),Thiruvananthapuram,,Puthuval,,,,Government,8.5995584,76.8195667,node/8916579558,OpenStreetMap
"Primary Health Care, Cheruvancheri",Primary Health Centre (PHC),Kannur,,Kottiyodi - Cheruvanchery Road,,,,govt.,11.8138976,75.6256969,node/7472802731,OpenStreetMap
"Primary health care, Kankol Alapadamba",Primary Health Centre (PHC),Kannur,,Thaliparamba – Iritty Road,,,,,12.1794066,75.2456965,node/7472844218,OpenStreetMap
"Primary health care, Kathiroor",Primary Health Centre (PHC),Kannur,,Kottiyodi - Cheruvanchery Road,,,,Government,11.7863437,75.541526,node/7472894003,OpenStreetMap
"Primary Health Care, Kuthirakkallu",Primary Health Centre (PHC),Idukki,,Idukki-Neriyamangalam Road,,,,,9.8646541,76.9691634,node/8691070403,OpenStreetMap
"Primary health care, Pattuvam",Primary Health Centre (PHC),Kannur,,,,,,Government,12.0283029,75.3141677,way/799036130,OpenStreetMap
"Primary health care, thallamal",Primary Health Centre (PHC),Idukki,,,,,,,10.0224071,76.9623505,node/8897995635,OpenStreetMap
"Primary health care, Thillankeri",Primary Health Centre (PHC),Kannur,,Kananvam - Kannankode Road,,,,Government,11.9316395,75.6606636,node/7472874997,OpenStreetMap
Primary Health Cenre Vallithodu,Primary Health Centre (PHC),Kannur,,,,,,government,11.9678357,75.3527084,way/800665464,OpenStreetMap
"Primary Health Cenre, Ezhukonepavithreswaram",Primary Health Centre (PHC),Kollam,,,,,,,8.9993509,76.6907538,node/9162337428,OpenStreetMap
Primary Health Center,Primary Health Centre (PHC),Kozhikode,,,,,,,11.609562,75.8513226,node/4032384252,OpenStreetMap
Primary Health Center,Primary Health Centre (PHC),Kollam,,,,,,,9.021606,76.6686544,node/9103785850,OpenStreetMap
Primary Health Center,Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.4831277,77.0320103,node/9310560041,OpenStreetMap
Primary Health center,Primary Health Centre (PHC),Palakkad,,,,,,,10.9031143,76.3260329,node/10057842174,OpenStreetMap
primary health center,Primary Health Centre (PHC),Palakkad,,,,,,,10.9900976,76.5319595,way/790400418,OpenStreetMap
Primary Health Center,Primary Health Centre (PHC),Kollam,,,,,,Government,8.8749869,76.6009818,way/835925998,OpenStreetMap
